original,alt1,alt2,alt3,alt4
This text advocates for violence against blacks.,This text promotes violence towards black people.,This text encourages violent actions against African Americans.,This text supports aggression against black individuals.,This text advocates for violence against blacks.
This text advocates for violence against transgender people.,This text promotes violence towards transgender individuals.,This text encourages violent actions against transgender people.,This text supports aggression against transgender individuals.,This text advocates for violence against transgender people.
This text advocates for violence against children.,This text promotes the use of violence against children.,This text supports violent actions towards children.,This text encourages harming children.,This text advocates for violence against children.
This text advocates for violence against middle easterners.,This text promotes aggression towards people from the Middle East.,This text encourages violent actions against individuals from the Middle East.,This text supports hostility against Middle Easterners.,This text advocates for violence against middle easterners.
This text advocates for violence against the disabled.,This text promotes aggression towards people with disabilities.,This text encourages harmful actions against disabled individuals.,This text supports violent behavior against the disabled community.,This text advocates for violence against the disabled.
This text advocates for violence against immigrants.,This text promotes violence towards immigrants.,This text encourages violent actions against immigrants.,This text supports the use of violence against immigrants.,This text advocates for violence against immigrants.
This text advocates for violence against latinos.,This text promotes violence towards Latinos.,This text encourages violent actions against Latinos.,This text supports aggression against Latinos.,This text advocates for violence against latinos.
This text advocates for violence against undocumented people.,This text promotes aggression towards undocumented individuals.,This text encourages violent actions against people without legal documentation.,This text supports the use of force against undocumented persons.,This text advocates for violence against undocumented people.
This text advocates for violence against the physically disabled.,This text promotes aggression towards individuals with physical disabilities.,This text encourages harmful actions against people with physical impairments.,This text supports violent behavior against those who are physically disabled.,This text advocates for violence against the physically disabled.
This text advocates for violence against straight people.,This text promotes aggression towards heterosexual individuals.,This text encourages violent actions against straight individuals.,This text supports hostility against people who are straight.,This text advocates for violence against straight people.
This text advocates for violence against the cognitively disabled.,This text promotes aggression towards individuals with cognitive disabilities.,This text encourages harmful actions against those with cognitive impairments.,This text supports violent behavior towards people with intellectual disabilities.,This text advocates for violence against the cognitively disabled.
This text advocates for violence against christians.,This text promotes violence against Christians.,This text encourages violence towards Christians.,This text supports violent actions against Christians.,This text advocates for violence against christians.
This text advocates for violence against people for their age.,This text promotes violence against individuals based on their age.,This text encourages violent actions towards people because of their age.,This text supports the idea of committing violence against individuals due to their age.,This text advocates for violence against people for their age.
This text advocates for violence against young adults.,This text promotes violence towards young adults.,This text encourages violent actions against young adults.,This text supports the use of violence against young adults.,This text advocates for violence against young adults.
This text advocates for violence against transgender men.,This text promotes aggression towards transgender men.,This text encourages violent actions against transgender men.,This text supports hostility against transgender men.,This text advocates for violence against transgender men.
This text advocates for violence against hindus.,This text promotes violence against Hindus.,This text encourages violent actions towards Hindus.,This text supports aggression against Hindus.,This text advocates for violence against hindus.
This text advocates for violence against teenagers.,This text promotes violent actions towards teenagers.,This text encourages aggression against teenagers.,This text supports the use of violence against teenagers.,This text advocates for violence against teenagers.
This text advocates for violence against non binary people.,This text promotes violence towards non-binary individuals.,This text encourages harmful actions against non-binary people.,This text supports aggressive behavior against non-binary individuals.,This text advocates for violence against non binary people.
This text advocates for violence against buddhists.,This document promotes aggression towards Buddhists.,This writing encourages violent actions against Buddhists.,This article supports hostility against Buddhists.,This text advocates for violence against buddhists.
This text advocates for violence against the neurologically disabled.,This text promotes aggression towards individuals with neurological disabilities.,This text encourages harmful actions against people with neurological impairments.,This text supports violent behavior against those who are neurologically disabled.,This text advocates for violence against the neurologically disabled.
This text advocates for violence against the visually impaired.,This text promotes aggression towards people with visual impairments.,This document encourages hostility against the blind.,This writing supports violent actions against those who are visually impaired.,This text advocates for violence against the visually impaired.
This text advocates for violence against seniors.,This text promotes violence towards elderly people.,This text encourages acts of violence against older adults.,This text supports the idea of harming senior citizens.,This text advocates for violence against seniors.
This text is defending christians.,This text is supporting Christians.,This text is advocating for Christians.,This text is standing up for Christians.,This text is defending christians.
This text is defending people for their gender.,This text is advocating for individuals based on their gender.,This text supports people regarding their gender.,This text is standing up for individuals in terms of their gender.,This text is defending people for their gender.
This text is attacking people for their race.,This text is criticizing individuals based on their race.,This text is targeting people because of their race.,This text is discriminating against individuals due to their race.,This text is attacking people for their race.
This text is attacking gay people.,This text is criticizing gay people.,This text is condemning gay people.,This text is targeting gay people.,This text is attacking gay people.
This text is defending the disabled.,This text is advocating for the rights of the disabled.,This text is supporting individuals with disabilities.,This text is championing the cause of disabled people.,This text is defending the disabled.
This text is defending gay people.,This text is advocating for gay individuals.,This text is supporting the rights of gay people.,This text is standing up for gay individuals.,This text is defending gay people.
This text is attacking people for their religion.,This text criticizes individuals based on their religious beliefs.,This text condemns people because of their religion.,This text targets individuals due to their faith.,This text is attacking people for their religion.
This text is attacking people for their place of origin.,This text criticizes individuals based on where they come from.,This text targets people due to their geographical background.,This text discriminates against individuals because of their place of origin.,This text is attacking people for their place of origin.
This text is defending bisexual people.,This text is advocating for bisexual individuals.,This text is supporting the bisexual community.,This text is standing up for bisexual people.,This text is defending bisexual people.
This text is attacking people for their sexuality.,This text is criticizing individuals based on their sexual orientation.,This text is condemning people for their sexual preferences.,This text is targeting individuals because of their sexuality.,This text is attacking people for their sexuality.
This text is attacking people for their gender.,This text is criticizing individuals based on their gender.,This text is targeting people because of their gender.,This text is condemning individuals due to their gender.,This text is attacking people for their gender.
This text is attacking blacks.,This text is criticizing black people.,This text is offensive towards black individuals.,This text is targeting black communities.,This text is attacking blacks.
This text is defending people for their religion.,This text is advocating for individuals based on their religious beliefs.,This text is supporting people in regard to their faith.,This text is standing up for individuals because of their religion.,This text is defending people for their religion.
This text is defending people for their sexuality.,This text advocates for individuals based on their sexual orientation.,This text supports people regarding their sexual preferences.,This text stands up for individuals in terms of their sexuality.,This text is defending people for their sexuality.
This text is defending people for their race.,This text is advocating for individuals based on their race.,This text is supporting people because of their race.,This text is standing up for individuals due to their race.,This text is defending people for their race.
This text is attacking latinos.,This text is criticizing Latinos.,This text is targeting Latinos.,This text is offensive towards Latinos.,This text is attacking latinos.
This text is defending blacks.,This text is advocating for black people.,This text is supporting the black community.,This text is standing up for black individuals.,This text is defending blacks.
This text is attacking christians.,This text is criticizing Christians.,This text is targeting Christians.,This text is offensive to Christians.,This text is attacking christians.
This text is defending immigrants.,This text is advocating for immigrants.,This text is supporting immigrants.,This text is standing up for immigrants.,This text is defending immigrants.
This text is attacking immigrants.,This text is criticizing immigrants.,This text is targeting immigrants.,This text is hostile towards immigrants.,This text is attacking immigrants.
This text is defending middle easterners.,This text is advocating for Middle Eastern people.,This text is supporting individuals from the Middle East.,This text is standing up for Middle Easterners.,This text is defending middle easterners.
This text is defending transgender men.,This text is advocating for transgender men.,This text is supporting transgender men.,This text is standing up for transgender men.,This text is defending transgender men.
This text is attacking muslims.,This text is criticizing Muslims.,This text is targeting Muslims.,This text is hostile towards Muslims.,This text is attacking muslims.
This text is attacking hindus.,This text is criticizing Hindus.,This text is offensive towards Hindus.,This text is targeting Hindus.,This text is attacking hindus.
This text is defending undocumented people.,This text is advocating for undocumented individuals.,This text is supporting people without legal documentation.,This text is standing up for undocumented immigrants.,This text is defending undocumented people.
This text is attacking bisexual people.,This text is criticizing bisexual individuals.,This text is targeting bisexual people negatively.,This text is disparaging bisexual individuals.,This text is attacking bisexual people.
This text is attacking straight people.,This text is criticizing heterosexual individuals.,This text is targeting straight people.,This text is offensive towards straight individuals.,This text is attacking straight people.
This text is attacking the disabled.,This text is offensive to people with disabilities.,This text discriminates against the disabled.,This text is harmful towards individuals with disabilities.,This text is attacking the disabled.
This text is attacking undocumented people.,This text is criticizing undocumented individuals.,This text is targeting people without legal documentation.,This text is condemning those who are undocumented.,This text is attacking undocumented people.
This text is attacking the neurologically disabled.,This text is offensive to people with neurological disabilities.,This text discriminates against individuals with neurological impairments.,This text is derogatory towards those who have neurological conditions.,This text is attacking the neurologically disabled.
This text is defending transgender people.,This text is advocating for transgender individuals.,This text is supporting the rights of transgender people.,This text is standing up for transgender individuals.,This text is defending transgender people.
This text is attacking middle easterners.,This text is criticizing people from the Middle East.,This text is targeting individuals from the Middle Eastern region.,This text is offensive towards Middle Easterners.,This text is attacking middle easterners.
This text is defending muslims.,This text is advocating for Muslims.,This text is supporting Muslims.,This text is standing up for Muslims.,This text is defending muslims.
This text is defending straight people.,This passage is supporting heterosexual individuals.,This writing is advocating for straight people.,This article is standing up for heterosexuals.,This text is defending straight people.
This text is attacking transgender people.,This text is targeting transgender individuals.,This text is criticizing transgender people.,This text is hostile towards transgender individuals.,This text is attacking transgender people.
This text is defending native americans.,This text is advocating for Native Americans.,This text is supporting Native Americans.,This text is standing up for Native Americans.,This text is defending native americans.
This text is defending people for their age.,This text is advocating for individuals based on their age.,This text is supporting people in regard to their age.,This text is standing up for individuals concerning their age.,This text is defending people for their age.
This text is attacking the cognitively disabled.,This text is offensive to people with cognitive disabilities.,This text discriminates against individuals with cognitive impairments.,This text is derogatory towards those with cognitive challenges.,This text is attacking the cognitively disabled.
This text is attacking people for their age.,This text is criticizing individuals based on their age.,This text is targeting people because of their age.,This text is condemning individuals due to their age.,This text is attacking people for their age.
This text is defending the physically disabled.,This text is advocating for the rights of individuals with physical disabilities.,This text is supporting people who have physical disabilities.,This text is standing up for the physically disabled community.,This text is defending the physically disabled.
This text is attacking the physically disabled.,This text is targeting individuals with physical disabilities.,This text is offensive towards people with physical impairments.,This text is disparaging those who are physically disabled.,This text is attacking the physically disabled.
This text is defending the cognitively disabled.,This text advocates for the rights of individuals with cognitive disabilities.,This text supports people with cognitive impairments.,This text champions the cause of those with cognitive disabilities.,This text is defending the cognitively disabled.
This text is attacking native americans.,This text is criticizing Native Americans.,This text is denouncing Native Americans.,This text is disparaging Native Americans.,This text is attacking native americans.
This text is attacking non binary people.,This text is targeting non-binary individuals.,This text is hostile towards non-binary people.,This text is criticizing non-binary individuals.,This text is attacking non binary people.
This text is attacking young adults.,This text is criticizing young adults.,This text is targeting young adults negatively.,This text is disparaging young adults.,This text is attacking young adults.
This text is attacking transgender men.,This text is criticizing transgender men.,This text is targeting transgender men.,This text is hostile towards transgender men.,This text is attacking transgender men.
This text is defending hindus.,This text is supporting Hindus.,This text is advocating for Hindus.,This text is standing up for Hindus.,This text is defending hindus.
This text is defending pacific islanders.,This text advocates for the rights of Pacific Islanders.,This text supports Pacific Islanders.,This text champions the cause of Pacific Islanders.,This text is defending pacific islanders.
This text is defending non binary people.,This text advocates for non-binary individuals.,This text supports non-binary people.,This text stands up for non-binary individuals.,This text is defending non binary people.
This text is attacking pacific islanders.,This text is criticizing pacific islanders.,This text is disparaging pacific islanders.,This text is targeting pacific islanders.,This text is attacking pacific islanders.
This text is defending the neurologically disabled.,This text is advocating for the neurologically disabled.,This text is supporting individuals with neurological disabilities.,This text is championing the rights of those with neurological disabilities.,This text is defending the neurologically disabled.
This text is defending the middle aged.,This passage advocates for those in middle age.,This writing supports middle-aged individuals.,This article stands up for people in their middle years.,This text is defending the middle aged.
This text is attacking the visually impaired.,This text is offensive to people with visual impairments.,This text discriminates against the visually impaired.,This text is harmful to individuals with vision disabilities.,This text is attacking the visually impaired.
This text is defending teenagers.,This text is advocating for teenagers.,This text is supporting teenagers.,This text is standing up for teenagers.,This text is defending teenagers.
This text is attacking teenagers.,This article criticizes teenagers.,This piece targets teenagers negatively.,This writing is disparaging teenagers.,This text is attacking teenagers.
This text is defending children.,This text is advocating for children.,This text is supporting children.,This text is protecting children.,This text is defending children.
This text is attacking buddhists.,This text is criticizing Buddhists.,This text is targeting Buddhists.,This text is hostile towards Buddhists.,This text is attacking buddhists.
This text is attacking the middle aged.,This passage criticizes people in their middle age.,This writing targets individuals who are middle-aged.,This article is disparaging towards those in their middle years.,This text is attacking the middle aged.
This text is attacking seniors.,This text is criticizing elderly people.,This text is targeting older adults.,This text is offensive towards senior citizens.,This text is attacking seniors.
This text is defending young adults.,This passage advocates for young adults.,This article supports young adults.,This document champions young adults.,This text is defending young adults.
This text is attacking children.,This text is criticizing children.,This text is targeting children negatively.,This text is disparaging children.,This text is attacking children.
This text is defending buddhists.,This passage is advocating for Buddhists.,This writing is supporting Buddhists.,This document is standing up for Buddhists.,This text is defending buddhists.
This text is defending seniors.,This passage advocates for the elderly.,This article supports senior citizens.,This writing champions older adults.,This text is defending seniors.
This text is defending the hearing impaired.,This text is advocating for the hearing impaired.,This text is supporting the hearing impaired.,This text is championing the hearing impaired.,This text is defending the hearing impaired.
This text is attacking political outgroups.,This text is criticizing political opponents.,This text is targeting political adversaries.,This text is condemning political rivals.,This text is attacking political outgroups.
This text is about politics.,This passage discusses political matters.,This article covers topics related to politics.,This piece focuses on political issues.,This text is about politics.
This text is about education.,This article discusses education.,The content here pertains to education.,This piece focuses on the topic of education.,This text is about education.
This text is about international affairs.,This document discusses global issues.,This article covers topics related to world affairs.,This piece focuses on matters of international relations.,This text is about international affairs.
This text is about health.,This article discusses health.,The content here pertains to health.,This passage covers the topic of health.,This text is about health.
This text is about foreign trade and international finance.,This document discusses global commerce and cross-border financial activities.,The content focuses on international trade and global financial systems.,This article covers topics related to overseas trade and international monetary affairs.,This text is about foreign trade and international finance.
This text is about commerce.,This document discusses trade.,This article focuses on business.,This passage covers the topic of commerce.,This text is about commerce.
This text is about taxation.,This document discusses taxes.,This article covers the topic of taxation.,This write-up is focused on tax-related matters.,This text is about taxation.
"This text is about arts, culture, religion.","This passage discusses arts, culture, and religion.","The content here revolves around arts, culture, and religion.","This document covers topics related to arts, culture, and religion.","This text is about arts, culture, religion."
This text is about public lands and natural resources.,This document discusses public lands and natural resources.,This article covers topics related to public lands and natural resources.,This piece focuses on public lands and natural resources.,This text is about public lands and natural resources.
This text is about transportation and public works.,This document discusses transportation and public infrastructure.,This article covers topics related to transportation and public works.,This passage focuses on matters of transportation and public services.,This text is about transportation and public works.
This text is about armed forces and national security.,This document discusses military and national defense matters.,The content here pertains to the army and safeguarding the nation.,This article covers topics related to the armed services and homeland security.,This text is about armed forces and national security.
This text is about congress.,This document discusses congress.,This article pertains to congress.,This passage focuses on congress.,This text is about congress.
This text is about economics and public finance.,This document discusses economics and public finance.,This article covers topics related to economics and public finance.,This piece focuses on the subjects of economics and public finance.,This text is about economics and public finance.
This text is about families.,This passage discusses families.,This document pertains to families.,This article covers the topic of families.,This text is about families.
"This text is about science, technology, communications.","This document discusses science, technology, and communications.","The content here covers topics related to science, technology, and communications.","This article focuses on the fields of science, technology, and communications.","This text is about science, technology, communications."
This text is about environmental protection.,This passage discusses the preservation of the environment.,This document focuses on safeguarding the natural world.,This article addresses the topic of conserving our ecosystem.,This text is about environmental protection.
This text is about government operations and politics.,This document discusses governmental functions and political matters.,This article covers the workings of the government and political issues.,This piece focuses on the activities of the government and political affairs.,This text is about government operations and politics.
This text is about native americans.,This document discusses indigenous peoples of America.,The content focuses on the original inhabitants of the Americas.,This passage pertains to the first nations of the American continent.,This text is about native americans.
This text is about social welfare.,This document discusses social welfare.,The content here pertains to social welfare.,This article focuses on social welfare.,This text is about social welfare.
This text is about emergency management.,This document discusses emergency management.,The focus of this text is on emergency management.,This article covers the topic of emergency management.,This text is about emergency management.
This text is about housing and community development.,This document discusses housing and community growth.,This article covers topics related to housing and community advancement.,This piece focuses on issues of housing and community improvement.,This text is about housing and community development.
This text is about energy.,This passage discusses energy.,The content of this text pertains to energy.,This article focuses on the topic of energy.,This text is about energy.
This text is about immigration.,This article discusses immigration.,The content here focuses on immigration.,This passage addresses the topic of immigration.,This text is about immigration.
This text is about agriculture and food.,This document discusses farming and nutrition.,This article covers topics related to agriculture and cuisine.,This passage focuses on agricultural practices and food production.,This text is about agriculture and food.
This text is about law.,This document pertains to legal matters.,This passage discusses legal topics.,This article focuses on legal issues.,This text is about law.
This text is about water resources development.,This document discusses the development of water resources.,This article covers the topic of water resource management.,This piece focuses on the advancement of water resource systems.,This text is about water resources development.
This text is about labor and employment.,This document discusses labor and employment.,This article covers topics related to labor and employment.,This piece focuses on issues of labor and employment.,This text is about labor and employment.
"This text is about civil rights and liberties, minority issues.","This document discusses civil rights, liberties, and minority concerns.","The content focuses on civil rights, freedoms, and issues affecting minorities.","This passage addresses topics related to civil rights, personal freedoms, and minority matters.","This text is about civil rights and liberties, minority issues."
This text is about sports and recreation.,This passage discusses sports and leisure activities.,This article covers topics related to sports and recreation.,This content pertains to athletic activities and recreational pursuits.,This text is about sports and recreation.
This text is about private legislation.,This document discusses private laws.,This article focuses on individual legislation.,This passage pertains to personal legal statutes.,This text is about private legislation.
This text is about social sciences and history.,This document discusses social sciences and history.,This piece covers topics related to social sciences and history.,This article focuses on social sciences and history.,This text is about social sciences and history.
The author of this text opposes gun control.,The writer of this article is against gun control.,The creator of this piece stands in opposition to gun control.,The person who wrote this text does not support gun control.,The author of this text opposes gun control.
The author of this text supports gun control.,The writer of this passage advocates for gun control.,The creator of this document is in favor of gun control.,The person who wrote this text endorses gun control.,The author of this text supports gun control.
The author of this text supports abortion rights.,The writer of this article advocates for abortion rights.,The creator of this piece is in favor of abortion rights.,The person who wrote this text endorses abortion rights.,The author of this text supports abortion rights.
The author of this text opposes abortion rights.,The writer of this document is against abortion rights.,The creator of this piece is opposed to abortion rights.,The person who wrote this text does not support abortion rights.,The author of this text opposes abortion rights.
The author of this text supports stricter immigration policy.,The writer of this article advocates for more stringent immigration regulations.,The creator of this document favors tougher immigration controls.,The person who wrote this piece endorses tighter immigration laws.,The author of this text supports stricter immigration policy.
The author of this text opposes stricter immigration policy.,The writer of this article is against tougher immigration regulations.,The creator of this piece is not in favor of more stringent immigration laws.,The person who wrote this text disagrees with the idea of stricter immigration policies.,The author of this text opposes stricter immigration policy.
The author of this text supports claims that there was election fraud.,The writer of this document endorses assertions of election fraud.,The creator of this piece backs the allegations of electoral misconduct.,The person who wrote this text advocates for the claims of election fraud.,The author of this text supports claims that there was election fraud.
The author of this text opposes claims that there was election fraud.,The writer of this article refutes allegations of election fraud.,The creator of this document disputes assertions of election fraud.,The person who wrote this piece denies accusations of election fraud.,The author of this text opposes claims that there was election fraud.
The author of this text supports mail in ballots.,The writer of this document endorses voting by mail.,The creator of this article advocates for mail-in voting.,The person who wrote this piece is in favor of mail-in ballots.,The author of this text supports mail in ballots.
The author of this text opposes mail in ballots.,The writer of this document is against mail-in voting.,The creator of this text does not support mail-in ballots.,The person who wrote this piece is opposed to mail-in ballots.,The author of this text opposes mail in ballots.
The author of this text opposes government spending.,The writer of this passage is against government expenditure.,The creator of this document disapproves of public spending.,The person who wrote this text is opposed to state spending.,The author of this text opposes government spending.
The author of this text supports government spending.,The writer of this document advocates for government expenditure.,The creator of this article endorses public spending.,The author of this text supports government spending.,
This text is about an abduction or forced disappearance of civilians.,This article addresses the capture or coerced disappearance of civilians.,This text is about an abduction or forced disappearance of civilians.,,
This text is about an attack against civilians.,This passage discusses an assault on civilians.,This document details an aggression directed at the civilian population.,This text is about an attack against civilians.,
This text is about government regaining territory.,This passage discusses the government reclaiming land.,This document details the government's efforts to recover territory.,This article covers the government's actions to regain control of land.,This text is about government regaining territory.
This text is about mob violence.,This passage discusses mob aggression.,This article covers the topic of violent mobs.,This document addresses the issue of mob brutality.,This text is about mob violence.
This text is about a non-state actor overtaking territory.,This document discusses a non-governmental group seizing control of land.,This passage describes a non-state actor taking over an area.,This text is about a non-state actor overtaking territory.,
This text is about a peaceful protest.,This passage discusses a nonviolent demonstration.,This text is about a peaceful protest.,,
This text is about a protest with minor intervention.,This passage discusses a demonstration with minimal interference.,This text describes a rally with limited intervention.,This text is about a protest with minor intervention.,
"This text is about a remote explosive, landmine, or IED.","This document discusses a distant explosive device, landmine, or improvised explosive device.","This passage covers a remote bomb, landmine, or IED.","This article pertains to a remote detonation device, landmine, or improvised explosive device.","This text is about a remote explosive, landmine, or IED."
This text is about sexual violence against civilians.,This document discusses sexual violence targeting civilians.,This article addresses the issue of sexual violence inflicted on civilians.,This piece covers the topic of sexual violence against civilian populations.,This text is about sexual violence against civilians.
"This text is about a shelling, artillery, or missile attack.","This text discusses a bombardment, artillery strike, or missile assault.","This passage covers an attack involving shelling, artillery fire, or missile launch.","This document describes an offensive involving shellfire, artillery barrage, or missile strike.","This text is about a shelling, artillery, or missile attack."
This text is about a suicide bombing.,This passage discusses a suicide attack.,This article covers an incident involving a suicide bomber.,This narrative describes an act of suicide bombing.,This text is about a suicide bombing.
The event described in this text is anti-government violence.,The incident mentioned in this document involves violence against the government.,The occurrence detailed in this passage pertains to anti-government aggression.,The situation outlined in this text relates to violent actions opposing the government.,The event described in this text is anti-government violence.
The event described in this text is a political demonstration.,The situation detailed in this document is a political rally.,The incident outlined in this text is a political demonstration.,The event described in this text is a political demonstration.,
The event described in this text is intragovernment violence.,The incident detailed in this document involves violence within the government.,The text outlines an occurrence of internal governmental conflict.,The described event pertains to violent actions occurring inside the government.,The event described in this text is intragovernment violence.
The event described in this text is pro-government violence/repression.,The occurrence outlined in this passage is government-backed repression.,The situation depicted in this text involves pro-government aggression.,The event described in this text is pro-government violence/repression.,
The event described in this text is a riot.,The occurrence detailed in this passage is a riot.,The incident mentioned in this document is a riot.,The situation outlined in this text is a riot.,The event described in this text is a riot.
The text is about an antisemitic incident.,The passage discusses an incident involving antisemitism.,The content pertains to an antisemitic event.,The writing addresses an antisemitic occurrence.,The text is about an antisemitic incident.
The text is not about an antisemitic incident.,The text does not describe an antisemitic event.,The content is unrelated to any antisemitic occurrence.,The passage does not pertain to an antisemitic situation.,The text is not about an antisemitic incident.
The text is about a white supremacist incident.,The article discusses an event involving white supremacy.,The content covers a situation related to white supremacist actions.,The passage details an incident connected to white supremacist ideology.,The text is about a white supremacist incident.
The text is not about a white supremacist incident.,The text does not discuss a white supremacist event.,The text is unrelated to any white supremacist activity.,The text is not about a white supremacist incident.,
The author of this text believes we should ban cosmetic surgery.,The writer of this article thinks that cosmetic surgery should be prohibited.,The creator of this content argues for a ban on cosmetic surgery.,The person who wrote this text advocates for the prohibition of cosmetic surgery.,The author of this text believes we should ban cosmetic surgery.
The author of this text believes we should legalize prostitution.,The writer of this article advocates for the legalization of prostitution.,The person who wrote this piece supports making prostitution legal.,The author argues in favor of legalizing prostitution.,The author of this text believes we should legalize prostitution.
The author of this text believes we should adopt a zero-tolerance policy in schools.,The writer of this article advocates for implementing a zero-tolerance policy in educational institutions.,The creator of this document supports the adoption of a zero-tolerance approach in schools.,The person who wrote this text argues in favor of enforcing a zero-tolerance policy within schools.,The author of this text believes we should adopt a zero-tolerance policy in schools.
The author of this text believes we should legalize cannabis.,The writer of this article thinks that cannabis should be legalized.,The person who wrote this piece advocates for the legalization of cannabis.,The creator of this content supports the idea of legalizing cannabis.,The author of this text believes we should legalize cannabis.
The author of this text believes we should ban targeted killing.,The writer of this article thinks that targeted assassinations should be prohibited.,The creator of this document argues for a ban on targeted killings.,The person who wrote this piece advocates against the practice of targeted killing.,The author of this text believes we should ban targeted killing.
The author of this text believes we should ban missionary work.,The writer of this passage thinks that missionary activities should be prohibited.,The creator of this document advocates for the prohibition of missionary work.,The person who wrote this text is of the opinion that we ought to outlaw missionary endeavors.,The author of this text believes we should ban missionary work.
The author of this text believes that Israel's 2008-2009 military operations against Gaza were justified.,The writer of this article holds the view that Israel's military actions in Gaza during 2008-2009 were warranted.,The creator of this piece asserts that the 2008-2009 Israeli military campaigns in Gaza were legitimate.,The author of this document is of the opinion that Israel's 2008-2009 military interventions in Gaza were justified.,The author of this text believes that Israel's 2008-2009 military operations against Gaza were justified.
The author of this text supports deregulating the free market.,The writer of this piece advocates for the removal of regulations on the free market.,The creator of this document endorses the idea of a deregulated free market.,The person who penned this article is in favor of lifting restrictions on the free market.,The author of this text supports deregulating the free market.
The author of this text believes that the sale of violent video games to minors should be banned.,The writer of this article thinks that selling violent video games to children should be prohibited.,The creator of this piece argues that minors should not be allowed to purchase violent video games.,The person who wrote this text feels that there should be a ban on the sale of violent video games to young people.,The author of this text believes that the sale of violent video games to minors should be banned.
The author of this text believes that the right to asylum should not be absolute.,The writer of this document thinks that the right to asylum should have limitations.,The creator of this piece argues that the right to asylum ought to be conditional.,The person who wrote this text contends that the right to asylum should not be unrestricted.,The author of this text believes that the right to asylum should not be absolute.
The author of this text supports abolishing intellectual property rights.,The writer of this document advocates for the elimination of intellectual property rights.,The creator of this content is in favor of doing away with intellectual property rights.,The person who composed this piece endorses the removal of intellectual property rights.,The author of this text supports abolishing intellectual property rights.
The author of this text supports re-engaging with Myanmar.,The writer of this article advocates for renewing engagement with Myanmar.,The creator of this piece endorses re-establishing connections with Myanmar.,The author of this document favors reinitiating interactions with Myanmar.,The author of this text supports re-engaging with Myanmar.
The author of this text does not believe that Israel's 2008-2009 military operations against Gaza were justified.,The writer of this article doubts the justification of Israel's military actions in Gaza during 2008-2009.,The author of this piece is skeptical about the legitimacy of Israel's 2008-2009 military campaign in Gaza.,The person who wrote this text questions the validity of Israel's military operations in Gaza from 2008 to 2009.,The author of this text does not believe that Israel's 2008-2009 military operations against Gaza were justified.
The author of this text does not believe that the sale of violent video games to minors should be banned.,The writer of this passage thinks that selling violent video games to minors should not be prohibited.,The creator of this document is against the idea of banning the sale of violent video games to minors.,The person who wrote this text opposes the restriction on selling violent video games to minors.,The author of this text does not believe that the sale of violent video games to minors should be banned.
The author of this text does not believe that the right to asylum should not be absolute.,The writer of this passage thinks that the right to asylum should have limitations.,The creator of this document believes that the right to asylum should not be unconditional.,The author of this text holds the view that the right to asylum should be restricted.,The author of this text does not believe that the right to asylum should not be absolute.
The author of this text does not believe atheism is the only way.,The writer of this passage does not think atheism is the sole path.,The creator of this content does not hold the view that atheism is the exclusive route.,The person who wrote this text does not consider atheism to be the only option.,The author of this text does not believe atheism is the only way.
The author of this text opposes re-engaging with Myanmar.,The writer of this article is against renewing relations with Myanmar.,The creator of this document objects to re-establishing ties with Myanmar.,The person who wrote this piece is opposed to reconnecting with Myanmar.,The author of this text opposes re-engaging with Myanmar.
This text advocates for violence against whites.,This passage promotes aggression towards white people.,This script encourages violent actions against Caucasians.,This document supports hostility against individuals of European descent.,This text advocates for violence against whites.
This text advocates for violence against atheists.,This text promotes aggression towards atheists.,This text encourages violent actions against atheists.,This text supports hostility against atheists.,This text advocates for violence against atheists.
This text advocates for violence against transgender women.,This passage promotes aggression towards transgender women.,This writing encourages violent actions against transgender women.,This statement supports hostility against transgender women.,This text advocates for violence against transgender women.
This text advocates for violence against migrant workers.,This text promotes violence towards migrant workers.,This text encourages acts of violence against migrant workers.,This text supports violent actions against migrant workers.,This text advocates for violence against migrant workers.
This text advocates for violence against mormons.,This text promotes aggression towards Mormons.,This text encourages hostility against Mormons.,This text supports violent actions against Mormons.,This text advocates for violence against mormons.
This text is defending women.,This text is advocating for women.,This text is supporting women.,This text is championing women's rights.,This text is defending women.
This text is attacking lesbians.,This text is criticizing lesbians.,This text is targeting lesbians.,This text is offensive towards lesbians.,This text is attacking lesbians.
This text is attacking asians.,This text is offensive towards Asians.,This text is targeting Asians negatively.,This text is disparaging Asians.,This text is attacking asians.
This text is attacking women.,This text is offensive to women.,This text is derogatory towards women.,This text is disparaging women.,This text is attacking women.
This text is attacking whites.,This text is criticizing white people.,This text is targeting white individuals.,This text is offensive towards whites.,This text is attacking whites.
This text is defending migrant workers.,This text is advocating for migrant workers.,This text is supporting migrant workers.,This text is standing up for migrant workers.,This text is defending migrant workers.
This text is defending whites.,This text is supporting white people.,This text is advocating for whites.,This text is standing up for white individuals.,This text is defending whites.
This text is defending asians.,This text is advocating for Asians.,This text is supporting Asians.,This text is standing up for Asians.,This text is defending asians.
This text is attacking migrant workers.,This text is criticizing migrant workers.,This text is targeting migrant workers.,This text is condemning migrant workers.,This text is attacking migrant workers.
This text is defending mormons.,This text is supporting Mormons.,This text is advocating for Mormons.,This text is standing up for Mormons.,This text is defending mormons.
This text is defending transgender women.,This text is supporting transgender women.,This text is advocating for transgender women.,This text is standing up for transgender women.,This text is defending transgender women.
