text,entailment,hypothesis,task,llama,base_nli,large_nli,base_debate,large_debate,base_modern,large_modern
The existence of the death penalty gives prosecutors much more flexibility and power to ensure just punishments .,0,the author of this text supports the death penalty,stance,0,0,0,0,0,0,0
"And if DNA testing had been applied to earlier cases where inmates were executed in the 1970s and 80s , the odds are high that it would have proven that some of them were innocent as well .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
We are the only nation of the Western democratic world that has not abolished capital punishment .,0,the author of this text opposes the death penalty,stance,1,0,1,1,1,1,0
"Capital punishment is an intolerable denial of civil liberties , and is inconsistent with the fundamental values of our democratic system .",0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
The death penalty puts innocent lives at risk .,0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
"Man did n't invent the death penalty , so man has no right to abandon it .",1,the author of this text opposes the death penalty,stance,1,1,0,1,1,1,1
Salvation : Felons have less time and likelihood of finding spiritual salvation if they are executed .,1,the author of this text supports the death penalty,stance,0,1,1,1,0,0,1
"God knows well the difference between murder and executions , as do most people .",1,the author of this text opposes the death penalty,stance,1,0,1,0,0,0,1
"The U.S. , with the death penalty , has a higher murder rate than the countries of Europe or Canada , which do not use the death penalty .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"It also states that victims ' services should be administered independently , not as part of the prosecutor 's office , and that leaders in the victims ' services community should develop protocols for serving victims ' families who oppose the death penalty .",0,the author of this text opposes the death penalty,stance,0,1,1,0,0,0,0
""" And I do n't believe I have a right to terminate someone else 's life either way — by abortion or capital punishment . """,0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
"This is an immoral condition that makes rejecting the death penalty on moral grounds not only defensible but necessary for those who refuse to accept unequal or unjust administration of punishment . """,0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
"Given the situation as I have described it , and as I believe it will continue so long as we have capital punishment , on could argue that the death penalty should be declared unconstitutional in all its forms .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
Three Good Reasons Details the three main reasons why people support the death penalty .,1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
"The Union for Reform Judaism ( URJ ) , which represents the majority of American Jews , has called for total abolition of the death penalty since 1959 .",0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
To kill the person who has killed someone close to you is simply to continue the cycle of violence which ultimately destroys the avenger as well as the offender .,0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
"Interestingly , the murder rate in the U.S. dropped from 24,562 in 1993 to 18,209 in 1997 , the lowest for years ( a 26 % reduction ) - during a period of increased use of the death penalty .",1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
This theory of justice which demands for “ Tooth for a Tooth and an Eye for an Eye ” is the strongest argument of the capital punishment .,1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
"Some of the practical reasons offered for death penalty opposition include the "" possibility of rehabilitation , "" the cost of keeping a prisoner on death row , and unfair application of the death penalty .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"Despite the efforts made over the past two decades since Gregg to protect the administration of the death penalty from abuses , the actual "" constitutional errors committed in state courts have gravely undermined the legitimacy of the death penalty as a punishment for crime . """,0,the author of this text opposes the death penalty,stance,0,0,0,1,0,1,1
"When the government sanctions , commands , and ceremoniously carries out the execution of a prisoner , it lends support to this destructive side of human nature .",0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
The death penalty is totalitarian .,0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
It is often seen that innocent people face wrongful execution .,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"When Amnesty International first pledged to abolish executions in the â € ˜70s , only six countries had stopped killing people as a form of punishment ; now over 140 countries have abolished the practice .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"The notion of an eye for an eye , or a life for a life , is a simplistic one which our society has never endorsed .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
Capital punishment does not appear to be doing its job ; it does n’t seem to be changing every criminal ’s mind about killing innocent people .,0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
"The death penalty is a symptom of a culture of violence , not a solution to it .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"Remember , the death penalty saves lives .",0,the author of this text supports the death penalty,stance,0,1,0,0,0,0,0
"It 's long past time to send this morally abhorrent practice to … "" 2 days ago "" RT @PresidentKE : I have this afternoon signed commutation documents commuting all death sentences into life jail terms .",0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
There is racial and economic discrimination in application of the death penalty .,0,the author of this text opposes the death penalty,stance,0,0,1,0,0,0,0
The evidence on which Tafero and Jacobs had been convicted and sentenced was identical ; it consisted mainly of the perjured testimony of an ex-convict who turned state 's witness in order to avoid a death sentence .,0,the author of this text opposes the death penalty,stance,0,1,1,1,1,0,0
"Taking the life of a murderer is a similarly disproportionate punishment , especially in light of the fact that the U.S. executes only a small percentage of those convicted of murder , and these defendants are typically not the worst offenders but merely the ones with the fewest resources to defend themselves .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
Using an execution to try to right the wrong of their loss is an affront to them and only causes more pain .,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"It is also argued that particularly for those who have been close to the victims , who are members of his or her family , or who are fellow police officers , or for those members of the public who somehow feel and identification with the deceased , the death penalty provides personal satisfaction , repaying in some measure the loss they felt in the death of the victim .",1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
"For 2007 , the average murder rate in states with the death penalty was 5.5 ; the average murder rate of the 14 states without the death penalty was 3.1 .",1,the author of this text supports the death penalty,stance,1,1,1,0,0,1,1
"Despite safeguards , innocent people do wind up on death row .",0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
"In 1985 , in Maryland , Kirk Bloodsworth was sentenced to death for rape and murder , despite the testimony of alibi witnesses .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"Granted , we are not able to ask the dead whether or not they felt their necks snap , or the chemicals burn inside them — but modern American executions very rarely go awry .",1,the author of this text opposes the death penalty,stance,1,1,1,1,1,0,1
"PRO : "" Simply because an execution method may result in pain , either by accident or as an inescapable consequence of death , does not establish the sort of ' objectively intolerable risk of harm ' [ quoting the opinion of the Court from Farmer v. Brennan , 511 U. S. 825 , 842 , 846 ( 1994 ) ] that qualifies as cruel and unusual ... Kentucky has adopted a method of execution believed to be the most humane available , one it shares with 35 other States ... Kentucky 's decision to adhere to its protocol can not be viewed as probative of the wanton infliction of pain under the Eighth Amendment ... Throughout our history , whenever a method of execution has been challenged in this Court as cruel and unusual , the Court has rejected the challenge .",0,the author of this text supports the death penalty,stance,0,1,0,1,0,0,0
"Still , I believe the death penalty , because of its finality , is more feared than imprisonment , and deters some prospective murderers not deterred by the thought of imprisonment .",0,the author of this text supports the death penalty,stance,0,0,0,0,0,0,0
"Additionally , accidents aside , our methods of execution — lethal injection , electrocution , firing squad , gas chamber , and hanging — may be inherently painful .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"But sparing them may help to spark a dialogue that one day will lead to the elimination of capital punishment . """,0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
""" Moreover , some good and conscientious prison staff find it very difficult to take part in premeditated death .",0,the author of this text opposes the death penalty,stance,0,1,1,0,0,0,1
"Catholic , Jewish , and Protestant religious groups are among the more than 50 national organizations that constitute the National Coalition to Abolish the Death Penalty .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"As noted in the revised piece for my website , Roberta Roper , whose daughter was brutally murdered , opposes the death penalty partly because it "" lowers society to the level of the murderer .",0,the author of this text opposes the death penalty,stance,0,0,1,0,0,0,0
"The extra cost goes up to $ 216,000 per case when all first-degree murder trials and their appeals are considered , many of which do not end with a death sentence and an execution .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"As an example of the arbitrariness of the death penalty , another man , Ernest Willis , also convicted of arson-murder on the same sort of flimsy and unscientific testimony , was freed from Texas death row six months after Willingham was executed .",0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
The European Convention of Human Rights has been amended to prohibit the death penalty in peace-time .,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"The officers do not believe the death penalty acts as a deterrent to murder , and they rate it as one of most inefficient uses of taxpayer dollars in fighting crime .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"Considering the numerous accounts of death-row inmates being found innocent through the use of DNA evidence , it may be surprising that wrongful conviction is only tied for second as a reason cited by death penalty opponents .",1,the author of this text supports the death penalty,stance,1,1,1,1,0,1,1
They also believe that the risk of executing an innocent person is too high .,0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
We need to take it off the table where death is not in the arbitration of deciding about how to punish criminals . ”,1,the author of this text supports the death penalty,stance,1,1,1,1,1,0,1
"However , the need for reform is not a reason to abolish the death penalty .",0,the author of this text supports the death penalty,stance,0,0,0,0,0,0,0
""" Wrong to take a life "" has been the top reason for opposing it since 1991 , by comfortable margins .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"It is also the only fitting retribution for murder I can think of . """,0,the author of this text supports the death penalty,stance,0,0,0,0,0,0,0
"In 2011 in California , a broad coalition of organizations called Taxpayers for Justice put repeal of the death penalty on the ballot for 2012 in part because of the high cost documented by a recent study that found the state has already spent $ 4 billion on capital punishment resulting in 13 executions .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"Many opponents of capital punishment put forward life in prison without parole as a viable alternative to execution for the worst offenders , and surveys in America have shown that life without parole ( LWOP ) enjoys considerable support amongst those who would otherwise favour the death penalty .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"Comparing black and white offenders over the past century , the former were often executed for what were considered less-than-capital offenses for whites , such as rape and burglary .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"We ca n’t give back a life once it is taken , and for one I would prefer a cautious approach to even the slightest possibility of taking an innocent person ’s life .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"Others argue that what drives American support for capital punishment is the "" impermanent emotion of outrage . """,1,the author of this text opposes the death penalty,stance,1,0,1,0,0,1,1
73 % of Americans believe an innocent person has been executed under the death penalty in the last five years .,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"Decreased crime rates , changes in sentencing guidelines , diminishing support , and demographics ( the young and people of color are much less likely to support the death penalty ) are all leading toward less capital punishment and its ultimate abolition .",0,the author of this text opposes the death penalty,stance,0,0,0,0,0,1,0
"Although isolated passages of the Bible have been quoted in support of the death penalty , almost all religious groups in the United States regard executions as immoral .",0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
"We oppose capital punishment not just for what it does to those guilty of horrible crimes , but for what it does to all of us as a society .",0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
Some supporters of the death penalty also contend it is less expensive than a life sentence .,1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
"Therefore , through litigation , legislation , commutation and by helping to foster a renewed public outcry against this barbarous and brutalizing institution , we strive to prevent executions and seek the abolition of capital punishment . """,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"It is easy to condemn capital punishment as barbaric , but is spending the rest of one 's life in prison so much less cruel to the prisoner or is it merely a way of salving society 's conscience and removing the unpleasantness for the staff and officials ?",1,the author of this text opposes the death penalty,stance,0,1,0,1,1,0,0
"Its imposition is often arbitrary , and always irrevocable – forever depriving an individual of the opportunity to benefit from new evidence or new laws that might warrant the reversal of a conviction , or the setting aside of a death sentence .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"If , however , the principle of just deserts means the severity of punishments must be proportional to the gravity of the crime – and since murder is the gravest crime , it deserves the severest punishment – then the principle is no doubt sound .",0,the author of this text supports the death penalty,stance,0,1,0,0,0,0,0
"On this basis , 19,968 people are not dead today who would have potentially been homicide victims , representing 78 lives saved for each one of the 256 executions .",1,the author of this text opposes the death penalty,stance,0,0,1,0,1,0,0
"We know that the death penalty is applied overwhelmingly to the working class , ethnic minorities and other marginalised groups .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
ï ¿ ½ Surely this has to be better than the arbitrary taking of the lives of a tiny minority of offenders ( as happens in most countries that retain the death penalty ) with all the unwanted side effects that this has on their families and on the rest of society .,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"They argue that retribution or "" an eye for an eye "" honors the victim , helps console grieving families , and ensures that the perpetrators of heinous crimes never have an opportunity to cause future tragedy .",1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
Studies by Thorsten Sellin ( 34 ) showed no demonstrable deterrent effect of capital punishment even during its heyday .,0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
"My point was that there is nothing within the ( false ) allegations that the Hypocratic Oath or "" Do no harm "" mandate medical professional not be involved with executions .",1,the author of this text opposes the death penalty,stance,1,1,1,0,1,0,1
"It opposes the death penalty in all situations , and urges the immediate establishment of a universal moratorium on executions in all world regions with a view to total abolition .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"The fact that he murdered at least thirty people — for the mere reason that he enjoyed doing it — has no bearing on the hypocrisy , the flagrant dishonesty , of the declaration that such a person deserves to be killed because he had no right to kill .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"As you know , it is a work I spent over a year working on , as a convert and a former criminal who spent 12 years in maximum security prisons , knew many murderers and well-understand the nature of evil men can do , requiring the final sanction .",0,the author of this text supports the death penalty,stance,0,0,0,0,0,0,0
REBUTTAL TO INNOCENCE Executing the innocent is a rare but acceptable risk of the death penalty .,1,the author of this text opposes the death penalty,stance,1,1,0,1,0,0,1
"In two of the three times Gallup has asked this question , "" persons may be wrongly convicted "" has been the No. 2 justification Americans give for opposing the death penalty , along with reasons grounded in religious beliefs , including that "" punishment should be left to God . """,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
The death penalty can not be limited to the worst cases .,1,the author of this text opposes the death penalty,stance,1,1,0,0,0,1,1
"He said that the “ random few ” whom California eventually executes - to date , just 13 out of more than 900 individuals sentenced to death - “ will have languished for so long on death row that their execution will serve no retributive or deterrent purpose and will be arbitrary . ”",0,the author of this text opposes the death penalty,stance,0,0,1,0,0,0,0
"Prosecutors , juries , and judges are much more likely to apply the death penalty when the victim is white and the defendant is black .",0,the author of this text opposes the death penalty,stance,0,0,1,1,0,1,0
"Thus , the death penalty can not be unjust to the guilty criminal . ”",1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
""" "" ... it is this same atrophy of moral fiber that appears in the plea for the abolition of the death penalty .",1,the author of this text supports the death penalty,stance,1,1,1,0,0,1,0
"But I think , as with so much violence in this world today , I just do n't think the state itself , whether it 's the state government or federal government , should be in the business of killing people .",0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
The argument goes on that proponents of capital punishments should not have to bear the burden of proving deterrence by a reasonable doubt .,1,the author of this text opposes the death penalty,stance,0,0,1,0,0,1,0
"In reply , abolitionists argue that it is morally flawed and cite studies to demonstrate its failure to deter .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"Civilized countries have banned the death penalty as have 18 U.S. states , while the governments that maintain the death penalty are typically more corrupt and dictatorial ones ( e.g. , China , North Korea , Saudi Arabia , Iran , Iraq , Yemen ; in the U.S. , Texas leads in applying the death penalty by far , accounting for over 1/3 of U.S. executions ) .",0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
"Furthermore , we believe that the state should not give itself the right to kill human beings – especially when it kills with premeditation and ceremony , in the name of the law or in the name of its people , and when it does so in an arbitrary and discriminatory fashion .",0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
"I would add to it by saying that there 's a strong tradition of religious activism against the death penalty — one that includes Quakers , many mainline Protestants and some evangelicals , and many Catholics .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"In the December poll when respondents were given a choice , only 42 % supported capital punishment while 46 % supported life without parole .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"If the criminal knows that the justice system will not stop at putting him to death , then the system appears more draconian to him .",1,the author of this text opposes the death penalty,stance,1,0,1,0,1,1,0
"Perhaps because "" a return to the exercise of the death penalty weakens socially based inhibitions against the use of lethal force to settle disputes … . """,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"Among ideological liberals , 37 % prefer the death penalty and 60 % prefer life imprisonment .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"We have a different view of the Catechism , in that you , as many others , find it supportive of the death penalty and not in conflict with traditonal teachings .",1,the author of this text supports the death penalty,stance,1,0,1,0,1,1,1
"The legacy of racial apartheid , racial bias , and ethnic discrimination is unavoidably evident in the administration of capital punishment in America .",0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
"DeLuna ’s story demonstrates so many of the factors that can go wrong in a capital case : faulty eyewitness identification , prosecutorial misconduct , police misconduct , a botched crime scene , destroyed DNA evidence , a poor person represented by ineffective by an ineffective inexperienced defense attorney overmatched by a professional prosecutor , and insufficient oversight from the bench .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"The U.S. Supreme Court later voted 5-4 to outlaw the death penalty for juveniles who were under the age of 18 at the time of the crimes , calling the execution of children unconstitutionally cruel .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"Yes , we want to make sure there is accountability for crime and an effective deterrent in place ; however , the death penalty has a message of "" You killed one of us , so we 'll kill you "" .",1,the author of this text supports the death penalty,stance,0,1,1,1,1,1,1
"The U.S. Department of Justice ’s own figures reveal that between 2001 and 2006 , 48 percent of defendants in federal cases in which the death penalty was sought were African Americans … the biggest argument against the death penalty is that it is handed out in a biased , racially disparate manner .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
That is a demonstrated error rate of 1 innocent person for every 7 persons executed .,1,the author of this text supports the death penalty,stance,1,1,1,1,1,0,1
"In the same , executing someone is not murder , it is punishment by society for a deserving criminal .",1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
"We can not do this , but if the Justice system can make it more swift and severe , we could change the laws to make capital punishment faster and make appeals a shorter process .",1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
"The time taken in the actual preparations prior to the execution , ( e.g. insertion of the catheters or the shaving of the head and legs for electrocution ) , must also cause great emotional suffering which again may far outweigh the physical pain of the actual moment of death which at least has an end .",0,the author of this text opposes the death penalty,stance,0,0,1,0,0,1,0
"Is media coverage of executions just a morbid sideshow for some people , who deprived of public hangings , etc. , lap up every detail the media has to offer whilst the majority ignore the not very interesting criminals who are executed by lethal injection ?",1,the author of this text supports the death penalty,stance,1,1,1,0,1,1,0
Capital punishment wastes limited resources .,0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
"One out of every ten who has been executed in the United States since 1977 is mentally ill , according to Amnesty International and the National Association on Mental Illness .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"Professor Austin Sarat estimates that “ executions by lethal injection are botched at a higher rate than any of the other methods employed since the late 19th century , 7 percent . ”",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"Asked about the possibility of "" a more humane way , "" he responded : "" There ai n't no humane way to put a human being to death if you stop and think .",0,the author of this text opposes the death penalty,stance,1,0,0,0,0,0,0
The letter also eloquently asks that the defendant be spared execution because the death penalty “ historically has been used in Mississippi and the South primarily against people of color for killing whites . ”,0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
"The strongest argument of all [ in favor of the death penalty ] is the deep pain and grief of the families of victims , and their quite natural desire to see punishment meted out to those who have plunged them into such agony .",1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
Mandatory death sentencing is unconstitutional .,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
A survey of the former and present presidents of the country 's top academic criminological societies found that 84 % of these experts rejected the notion that research had demonstrated any deterrent effect from the death penalty .,0,the author of this text opposes the death penalty,stance,0,0,1,0,0,0,0
Those of us who have participated in executions often suffer something very much like posttraumatic stress .,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
But in the case of capital punishment snatching away of the human life is the most terrifying consequence .,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"Additionally , Seventy-three percent ( 73 % ) also are at least somewhat concerned that some people may be executed for crimes they did not commit , including 40 % who are Very Concerned .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"Even if we were fine with executing innocent people every now and then , the Supreme Court would n't beâ € ” the Court abolished the death penalty in 1972 due to arbitrary sentencing .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"If not remedied , the scandalous state of our present system of capital punishment will cast a pall of shame over our society for years to come .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"Coretta Scott King has observed , "" As one whose husband and mother-in-law have died the victims of murder and assassination , I stand firmly and unequivocally opposed to the death penalty for those convicted of capital offenses .",0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
Capital punishment does not deter crime .,0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
Aquinas proceeded to see Rom .13:4 as justifying both just war and capital punishment for crimes like murder .,1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
The region of the county with the greatest number of executions -- the South -- is the region with the largest murder rates .,1,the author of this text supports the death penalty,stance,1,1,1,1,0,1,1
We do n’t need to do the death penalty anymore .,0,the author of this text opposes the death penalty,stance,0,0,0,0,0,1,0
"He began his debate with graphic accounts of murder trials he ’s worked on , to explain to attendees all murders are different and some murderers deserve death .",1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
"Over the lifetime of a case , executing prisoners can be three times as expensive as life in prison , primarily due to the higher costs of capital punishment trials , automatic appeals , and the heightened security on death row with lower staff-to-prisoner ratios .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
""" Additionally , he said the money spent on the death penalty could be better used elsewhere , as California cuts funding for police officers and prosecutors . """,0,the author of this text opposes the death penalty,stance,0,1,0,0,0,0,0
"Ms. Meehan writes : "" A number of persons executed in the United States were later cleared by confessions of those who had actually committed the crimes .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"Today , thousands of Australians will start a movement and light candles at vigils all across the country to end the backslide towards execution in Asia .",0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
"Cameron Todd Willingham , who claimed innocence all along , was executed for a crime he almost certainly did not commit .",0,the author of this text opposes the death penalty,stance,0,1,1,0,0,0,0
Death penalty costs the government less as opposed to life imprisonment without parole .,0,the author of this text supports the death penalty,stance,0,1,1,0,0,0,0
"For example , in Colorado , where the Holmes jury now has to spend the next several weeks hearing evidence , the state will shell out approximately $ 3.5 million , as opposed to an average of $ 150,000 if the state had not sought the death penalty , according to the American Civil Liberties Union .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,0,1
"This is a common anti death penalty problem , not being able to see the obvious moral differences between the rape and murder of children ( a crime against an innocent victim ) and the execution of that rapist murderer ( a sanction for the guilty party ) .",1,the author of this text opposes the death penalty,stance,0,0,1,1,1,1,1
"There are no objective rules or guidelines for when a prosecutor should seek the death penalty , when a jury should recommend it , and when a judge should give it .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"Around our country , states without the death penalty have a lower murder rate than neighboring states with the death penalty .",0,the author of this text opposes the death penalty,stance,0,0,1,0,0,1,1
There has never been any proof of an innocent man being executed !!,1,the author of this text opposes the death penalty,stance,0,0,1,0,1,0,0
"[ quoting himself from Furman v. Georgia , 408 U.S. 238 , 257 ( 1972 ) ] As such it is a penalty that ' subjects the individual to a fate forbidden by the principle of civilized treatment guaranteed by the [ Clause ] . '",0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
"Capital Punishment proves to be the best method to eliminate negative elements from the society forever thus , leading to a more humane society .",0,the author of this text supports the death penalty,stance,0,0,0,0,0,0,0
"But as I stood and watched a grieving mother leave her son for the last time , I questioned how the sordid business of executions was supposed to be the great equalizer … .",0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
"Philip Holloway This is not because I have any moral objection to executing the worst of the worst -- those who murder innocent victims , sometimes in the most horrific ways imaginable .",1,the author of this text supports the death penalty,stance,0,0,0,0,0,0,0
"Some would blame the court system , not that death penalty itself for the problems , but we ca n't risk mistakes .",1,the author of this text supports the death penalty,stance,1,1,1,0,0,1,1
A study by Bedau-Radlet claimed there were 22 cases where the defendant have been wrongly executed .,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"In Acts 25:11 the apostle Paul says , "" For if I be an offender , or have committed any thing worthy of death , I refuse not to die : but if there be none of these things whereof these accuse me , no man may deliver me unto them .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"Death penalty is a just punishment for crimes committed against the rights to life , freedom and safety of victims .",1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
"For example , between l990 and l994 , the homicide rates in Wisconsin and Iowa ( non-death-penalty states ) were half the rates of their neighbor , Illinois – which restored the death penalty in l973 , and by 1994 had sentenced 223 persons to death and carried out two executions .",0,the author of this text opposes the death penalty,stance,1,0,1,0,1,0,1
But I have become so skeptical of the federal government that under our system ... the federal government has made so many mistakes and with DNA evidence now revealing so many errors that I do n't even like the idea of our federal government pretending that they know whose life they are going to take because of their total ineptness in just about everything they do .,0,the author of this text opposes the death penalty,stance,1,0,1,0,0,0,0
"Since 1973 , 144 prisoners on death row have been found to be innocent of the crimes for which they were convicted .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"If murder is the willful deprivation of a victim ’s right to life , then the justice system ’s willful deprivation of the criminal ’s right to the same is — even if overly severe — a punishment which fits the most severe crime that can be committed .",1,the author of this text opposes the death penalty,stance,1,1,1,0,1,0,1
I do n't want to put one innocent person to death to punish 99 who are guilty . ” ',0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
"It is known , with all the appeals , the death penalty is not swift !",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"This telephone poll from June 2-3 , 2010 finds that 62 % of Adults favor the death penalty , while 26 % oppose it .",1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
"Whether you believe the judge or the attorney or me , or read the trial transcript - the end result is that Taylor Wells is culpable under the law and that the judge would have been perfectly within bounds to have him killed .",1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
"Evidently , the threat of the death penalty ‘ does not even exert an incremental deterrent effect over the threat of a lesser punishment in the abolitionist states . ’",0,the author of this text opposes the death penalty,stance,0,0,1,0,0,0,0
"Mr. Syski believes that "" torture is dehumanizing , but capital punishment is the essence of dehumanization . """,0,the author of this text opposes the death penalty,stance,1,0,0,0,0,1,0
I would favor retention of the death penalty as retribution even if it were shown that the threat of execution could not deter prospective murderers not already deterred by the threat of imprisonment .,0,the author of this text supports the death penalty,stance,0,0,0,0,0,0,0
But what about [ insert horrible despot here ] : surely they should be executed ?,1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
Not Executing the Innocent An article arguing against the claim that the US has a 68 % failure rate in execution .,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
There are strong religious reasons for many to oppose the death penalty .,0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
It may well be that the murder rate would be the same today if we had retained and continued to use the death penalty .,1,the author of this text supports the death penalty,stance,0,1,1,1,1,0,1
"Already , however , damage to the frontal lobe , where resides our executive function , merits serious consideration as a good reason to caution any person thinking about ending another person 's life in the name of Justice .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"Mr. McCleskey appealed his conviction and death sentence , claiming racial discrimination in the application of Georgia 's death penalty .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
Statistics were kept for the first five years that capital punishment was suspended in Britain ( 1965-1969 ) and these showed a 125 % rise in murders that would have attracted a death sentence .,1,the author of this text opposes the death penalty,stance,1,0,1,1,1,1,1
