task,premise,entailment,hypothesis,validation_source,base_nli,large_nli,base_debate,large_debate,llama,base_modern,large_modern
explosives,"A mortar shell was fired at the Gaza settlement of Nisanit.  No one was hurt, but one house was damaged.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
firearms,Shots were fired at a Border Police base near Tulkarm.  No one was injured.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,4,2
explosives,An explosive device detonated at the terminal at the Baghdad International Airport.  It is unknown if anyone was killed or injured in the blast.  This attack comes on the same day that Prime Minister Allawi signed a law that allows him to impose emergency measures to battle insurgents.  The law will give the government the right to impose martial law in special circumstances.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
knives & sharp objects,"A large mob, led by the International Khatme Nabuwat Movement Bangladesh (IKNMB), staged an attack against the Ahmadiyya community (Muslim sect).  More than fifty people were injured.  The attackers entered the community with hot pokers, machetes, rocks, and darts.  The objective was to hang a sign that stated A place of worship for the Ahmaddiyya Community, Sundarban Bazaar, letting Muslims know that the house of worship is not a mosque.  Local reports claimed that police helped the attackers to hang the sign and made no attempts to stop the attacks.  It was also claimed that the injured were not attended to in a timely manner in the hospital.   IKNMB has been campaigning for the government to officially recognize that the sect is not Muslim.",4,This text describes a knife or sharp object attack.,gpt-4o-2024-11-20,4,4,4,4,4,3,4
explosives,"Terrorists used a roadside bomb to target a police patrol, wounding three policemen and a child.  The attack occurred near the city of Kerbala, seventy miles  southwest of Baghdad.  Attacks on police are common in Iraq.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"On February 3, suspected members of the Communist Party of Nepal-Maoists bombed the house of a mayoral candidate for Tikapur Municipality, identified as Bishnudevi Rawal, though no injuries were reported. There was one other attack against a mayoral candidate in Tikapur that day, and yet another in Kapibastu.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
fire or firebomb,"Three firebombs exploded almost simultaneously in Athens, causing material damages but no injuries.  The third device exploded under a municipal vehicle that was parked in the Nea Ionia district of the city.  The blast destroyed the vehicle.  All three blasts were claimed by a group calling themselves the Revolutionary Liberation Action in a phone call to the SKAI private radio station.",3,This text describes an arson attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"A car bomb in Zhukovskiy Prospekt killed three and injured six.  The car exploded as an army lorry was passing by, and the blast caused the lorry to strike a crowd of shoppers.  Witnesses say the vehicle containing the explosives had been parked at the scene for about two hours.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,A U.S. Northwest Orient Airlines office was bombed by Islamic Jihad in Copenhagen.  Twenty two people were injured in the attack.  A synagogue and a Jewish rest home were also bombed.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,3,1
explosives,"An explosive device, which was planted inside a car which belonged to a Hakkari municipality official, detonated in the middle of the night.  Three cars were damaged by the blast and windows in nearby houses were shattered.  There were no reported casualties caused by the blast.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
fire or firebomb,"Kurdish separatists are suspected in the firebombing attacks against three Turkish-owned businesses in Bonn.  A travel agency, restaurant and tea shop were attacked.",3,This text describes an arson attack.,gpt-4o-2024-11-20,3,3,1,3,2,1,3
firearms,An Israeli soldier opened fire at a produce market in Hebron.  Six Palestinians were injured.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,4,2
firearms,Suspected Taliban gunmen shot and killed a local carpet trader in the main market of Miranshah after accusing him of being a spy for the government.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
firearms,"The car of the Czech ambassador to Iraq, Martin Klepetko, came under gunfire in Baghdad. The car was hit by at least thirty bullets, when one group of armed men blocked the road and another fired at the car. The car was armored, and although the car was damaged, no one was injured.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
firearms,"Said Emin Adizov, leader of the local branch of the United Russian Party, was shot in Grozny in an ambush on his way home from work.  Several gunmen with high-powered rifles fired on his Jeep Cherokee from high-rise buildings nearby.  His party colleagues claim the murder was political although others allege it was the result of a feud.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
firearms,Gunmen shot and killed three men who were waiting for day work in Baghdad. The attack may have had sectarian motivations.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,4,2
explosives,The M-19 detonated a weak bomb near the building where the Peruvian Embassy has its offices in Cali.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,"On December 16, 2008 a roadside bomb detonated near the convoy of Raid Fahmi, Iraqi Minister of Sciences and Technology, while traveling near the gate of Babel Hotel in the Jadriya neighborhood in central Baghdad.  It is not know whether Fahmi was in the convoy during the attack which wounded one of his bodygaurds and two bystanders.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"On June 17, 2008 a car bomb exploded at the entrance of a police station in central Baquba, wounding eighteen people.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,A home-made explosive device was rendered harmless in Simferopol.  The bomb was placed on a windowsill of the Gelena shop.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
firearms,"Gunmen in Baghdad attacked Umer Hejab Jasim, a bodyguard for parliament speaker Mahmoud al-Mashhadani. Jasim was wounded in the attack. Attacks on bodyguards of political figures are frequent in Iraq.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,4,2
explosives,"On April 12, suspected members of the Liberation Tigers of Tamil Eelam (LTTE) detonated an improvised explosive device near a vegetable market in Trincomalee district.  Five people died in the initial explosion, but six more people were killed in the mob violence that quickly followed the explosion.  In addition to the dead, 38 people were injured in the blast and ensuing violence.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
firearms,"An Israeli man was killed and four people injured when two Palestinian gunmen dressed in Israel Defense Forces (IDF) uniforms opened fire on passing cars near the northern Gaza settlement of Alei Sinai.  Both gunmen were killed by IDF troops after fleeing the scene.  Hamas's military wing, the al-Qassem Brigade, took responsibility for the attack.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,A Qassam rocket was fired at the Nahal Oz settlement. The military wing of Hamas claimed responsibility for the attack. No damage or casualties were reported.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,2,1,1,1,2,1,1
firearms,"Edith Sosa Soler, director general of the General Union of Workers and Peasants of Mexico (UCOCM) and her daughter Judge Claudia Edith Ortiz Sosa were shot at home by unknown suspects.  Both women died.  A third woman, caught in the crossfire was in critical condition.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
firearms,"A 29-year-old Buddhist individual was shot and killed in a drive-by shooting in volatile Pattani province. Drive-by shootings are common in Thailand's three southernmost provinces. Islamic insurgents in the far south of Thailand continue to target civilians, educators, police, military, as well as religious and community leaders in a campaign of drive-by shootings, arson, and bomb attacks aimed at destabilizing society and pressing for independence from Thailand. The current insurgency has been underway since January 2004 and more than 2000 people have perished from the violence.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,3,2
explosives,Sendero Luminoso bombed the U.S.-Peruvian Cultural Center in Lima.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
firearms,A police lieutenant was killed by gunmen in Baqubah's industrial neighborhood.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,A bomb exploded shortly before midnight outside an Israeli bank on a crowded boulevard lined with cafes.  The blast damaged the facade of the Bank Leumi of Israel and shattered windows in adjacent buildings.  No one was injured.  The bomb was described as relatively small and not designed to inflict heavy damage.  A new group calling itself M-5 claimed responsibility for the blast as well as for several others within the last several days.  The group is demanding $3.75 million to cease its attacks.  The political orientation of the group is unknown.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
firearms,"Sheikh Abdul-Salam Abdul Hussein, a Shiite cleric and candidate in the upcoming December 15 elections as part of the bloc under Moqtada al-Sadr, was killed by gunmen who opened fire on him in eastern Baghdad. Attacks on political figures and candidates are frequent in Iraq.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,"Insurgents attempted to kill the Somali deputy prime minister, Ahmad Abdisalam Haji Aden.  The deputy prime minister's convoy was targeted by a remote-detonated roadside bomb in Shineema Afrika, near Mogadishu.  Attacks on government officials are common in Somalia.Since routing the Union of Islamic Courts (UIC) in December in 2006, both Ethiopia and Somalia's transitional government have been combating a fierce insurgency campaign being waged by Islamic militants affiliated with the UIC.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"A suicide bomber blew himself up in front of the home of Majid and Amer Ali Suleiman, two tribal leaders who had cooperated with US forces.  The attack took place in the city of Ramadi.  Three of the brothers' body guards were seriously injured by the blast, but the leaders were unhurt.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"A suicide bomber detonated approximately 5 kilograms of explosives including nails and metal balls at an Ashkelon roadside from where soldiers usually hitch-hike.  A soldier and the bomber were killed and 34 others were injured, many seriously.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,A bomb exploded in a crowd of people at an Eid al-Adha festival in Khost Province injuring approximately 22 people.  The crowd had gathered for a traditional egg fight as part of the local games that were part of the festival.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,"The Miami office of the FBI was bombed, along with those of a Social Security office, a State unemployment office, two post offices, a bank, a state attorney's office, and the Miami Police Department Headquarters.  Rolando Otero, a former member of Brigade 2506, was accused of the bombings.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,Unidentified persons appear to have fired rockets on three different police buildings that were under construction.  One was explosion took place in Panhoor.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
firearms,"Insurgents shot and killed Hakim Mirza, a municipal director in Baghdad, and his driver. The attack occurred when gunmen opened fire on Mirza's vehicle in Baghdad. Government officials are the frequent target of insurgent attack in Iraq.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,"A bomb exploded in Istanbul at the offices of a Dutch business firm.  A group professing to be followers of the late Mahir Cayan, a Turkish anti-government terrorist killed in 1972, claimed responsibility.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,"A pipeline in that supplies oil to a power station in the city of Dibbis, near Kirkuk, was attacked with an explosive device. The blast caused a significant fire and disrupted the provision of power to surrounding areas. This was one of three attacks on nearby pipelines on this day. Oil pipelines are the frequent target of insurgent attack in Iraq.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,3,1
fire or firebomb,Kurds were suspected in the firebombing of a Turkish-affiliated travel agency in Bremen.,3,This text describes an arson attack.,gpt-4o-2024-11-20,3,3,1,3,2,2,3
explosives,Two Qassem rockets were fired at the city of Sederot.  No one was hurt and no damage was caused.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,2,1,1,1,2,1,1
explosives,A major in the Iraqi police was killed by an improvised explosive device planted near his residence in Zuhour area of Tikrit.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"The partial explosion of a homemade device damaged a junction box belonging to Iberdrola, a power company.  No further information is provided.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
fire or firebomb,"The Lautaro Movement threw Molotov cocktails at Mormon temples in La Florida, Ochagavia, and Santiago Norte.",3,This text describes an arson attack.,gpt-4o-2024-11-20,3,3,3,3,2,3,1
firearms,"On August 10, a group of Taliban gunmen attacked a police patrol in the Shekh Qalandar area of Panjwai District.  According to police, eight police personnel were killed in the attack and seven others were injured.  Police report killing twelve Taliban gunmen in the incident.  Following the attack, Taliban spokesman Qari Mohammad Yousuf claimed responsibility for the attack, though cited different figures (25 police killed, 2 Taliban killed)",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,"A bomb was thrown at an Albanian-owned house in a Serbian part of Kosovska Mitrovica late on the night of the 11th.  No one was injured because the house was empty at the time, although the house sustained some damage.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"Three explosive charges were thrown at a Border Police patrol in Hebron's casbah.  No one was hurt.  The Popular Army Vanguards Group, the Battalions of the Return, claimed the attack.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,"A bomb containing propaganda pamphlets for the Group of People's Fighters (GCP) exploded in downtown Guayaquil at an event where hundreds of workers marched down the streets to celebrate Labor Day.  The message read:  A social expansion is nearing and the armed struggle will emerge in the midst of this.  In this struggle, the exploited ones will form their own army to subdue the oligarchs, traitors and thus defend and guarantee the constitution of the anti-imperialist people's government.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,A Qassam rocket was fired at the town of Sederot. It landed in an open area and caused no damage or injuries.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,2,1,1,1,2,1,1
explosives,"A woman was injured when a tube of tomato concentrate that she had just purchased at the supermarket exploded in her hand.  Police believe this blast and a foiled blast on 1 November when a man found an explosive device in an egg to be the work of the so-called Italian Unabomber, who has planted explosives in food products for the past six years.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
firearms,"Orlando Sandoval Quintana, mayor of Tenerife (Magdalena Department), was murdered by suspected paramilitaries in Plato.  The perpetrators intercepted his vehicle and shot him twice in the head.  Mayor-elect Rodrigo Roncallo, who was traveling with him at the time, was briefly detained by the armed group but later released.Note:  Incident date is approximate.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,Bombs exploded at the Summer Institute of Linguistics and the Center of Studies for Americans.  The National Liberation Army (ELN) claimed responsibility.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,"On the evening of June 16, the abu Ali Mustafa Brigades of the Popular Front for the Liberation of Palestine claimed it launched two projectiles at Sederot and Kfar 'Azza, which are located near the Gaza strip, No material or human losses were reported.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,2,1,1,1,2,1,2
firearms,"Gunmen killed a member of the National Accord Movement, led by former Prime Minister Allawi. The victim, Ibrahim Khalil, was killed when gunmen opened fire on him in Baghdad. Political figures are the frequent target of insurgent attack in Iraq.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,"A time bomb was placed in the office of Dutch insurance company, National Nederlande, in Athens. 17 November claimed responsibility.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,"A bomb exploded near a truck transporting fuel near Kut, wounding the driver.  Attacks on fuel convoys, and on the oil industry in general, are frequent in Iraq.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
fire or firebomb,"Arsonists set fire to a school in Bacho district, Narathiwat province, destroying it.",3,This text describes an arson attack.,gpt-4o-2024-11-20,3,3,3,3,2,3,3
fire or firebomb,"Activists from the All Nepal Independent Students' Union- Revolutionary (ANISU- Revolutionary) set fire to offices of Mahendra Sanskrit University, destroying student records and 50,000 ancient Sanskrit texts.  ANISU is a front organization for the Communist Party of Nepal-Maoist (CPN-M).",3,This text describes an arson attack.,gpt-4o-2024-11-20,3,3,3,3,3,3,3
explosives,"Two car bombs detonated in quick succession near the Ministry of Labor and Social Work in central Baghdad, killing one person and wounding twelve others, including three policemen.  Attacks on government buildings and officials are frequent in Iraq.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"Militants detonated explosives at the Ministry of Education in Baqubah.  No casualties, however, were reported.  Attacks on government targets are frequent in Iraq.  A fire department was also bombed in the same area on this day.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,A VW showroom in Italy was the target of a bomb that caused minor property damage.  An anonymous telephone caller stated that the attack had been carried out by the German Red Army Faction in honor of Italian RAF comrades.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,"Two employees of the Herzegovina-Neretva Canton police were slightly injured when an attacker broke into their office and set off two hand grenades.  The attacker, Nino Pehar, was caught and detained.  The attack caused considerable damage to the police building.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"A time bomb exploded at the Sariyer Judge's Club, a guest house for visiting judges to Istanbul.  The explosion took place between the lobby and restaurant.  This is one of two attacks against the justice system in Istanbul on this evening.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,"Two suicide bombers detonated their vehicles almost simultaneously in front of the Interior Ministry building, targeting a passing police convoy. The dead included police, bystanders, and journalists. At least fifteen people were killed and over fifty injured in the blasts.  The attack was claimed by the group affiliated with Abu Musab al-Zarqawi, Tanzim Qa'idat Al-Jihad fi Bilad al-Rafidayn. In the statement, the group implied that the recent increase in attacks was done to correspond with the visit by Defense Secretary Rumsfeld and Robert Zoellick, deputy secretary of state.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,"A grenade hit the rear of San Sebastian national police commissariat, causing no casualties and little damage.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"FEDERAL REPUBLIC OF GERMANY.  Two staff members of the Iraqi embassy in East Berlin were arrested in West Berlin and charged with attempted murder, preparing an attempted bomb attack and illegal possession of firearms.  The two diplomats were without diplomatic status in West Berlin.  First Secretary Khalid J.  Jaber and embassy technician Hay-Ali Mahmoud were arrested after they handed a suitcase of explosives to accomplices planning to blow up a youth center where a Kurdish students' congress was being held with about 100 participants. At the request of the West German authorities, the West Berlin Senate dropped the charges and deported the two diplomats, presumably to preserve relations with Iraq.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"A suicide bomb exploded near the party headquarters of the Iraqi National Accord Party, which is the party of Iraqi interim Prime Minister Ayad Allawi. The explosion killed two police officers and one civilian and injured twenty-five other people. Allawi was not inside the building at the time of the explosion.  On January 4, the militant group Jaish Ansar al-Sunnah claimed responsibility for the attack, citing the upcoming elections as their motivation.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,Palestinian commandos set off a bomb under a culvert on the key north-south highway between central Israel and the southern port of Eilat and escaped into Jordan.  Military officials said it was a new strategy of radical groups within the Palestine Liberation Organization to strike Israel from Jordanian territory.  The blast caused no serious damage and no injuries.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
firearms,"A tribal leader accused by the New People's Army (NPA) of being a military spy was shot dead in Lalaitan Village District, Sangay Village, Agusan del Norte province. NPA claimed responsibility.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,4,2
fire or firebomb,Several Molotov cocktails were thrown at a bus belonging to the Eusko Tren (Basque Railways) company in Santurtzi.  The bus was badly damaged in the resulting fire.,3,This text describes an arson attack.,gpt-4o-2024-11-20,3,3,3,3,2,3,1
firearms,"Three Iraqi contractors who worked as caterers for an Iraqi Army restaurant in Baghdad were attacked by gunmen in Baghdad. The gunmen surrounded the contractors, killing two and wounding one. Attacks on those who support Iraqi security and government forces are frequent in Iraq.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,"A bomb exploded in Woolworth's in Salisbury, killing eleven and injuring seventy-six, mostly black citizens.  The second floor of the store was destroyed by the blast, which knocked out a large section of the eight- inch thick outer wall.  The bomb was composed of seventy-five pounds of TNT and had been placed at a parcel check-in-site.  Rhodesian guerrillas were blamed and a suspect was arrested in October.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,"Bombers blew up the General Santos City public market, killing at least seventeen people and injuring seventy others.  The explosive device was made of TNT, nitrates and carbon and was activated by a cell phone.  Police originally detained four suspected Abu Sayaaf Group (ASG) members but lacked evidence to link them to the bombing.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,"An explosive device detonated outside the gates of a Buddhist temple in Rangae, in southern Thailand.  This was one of three explosive attacks against temples in the southern region, all were within an hour of each other.  One person was injured by one of the bombs, but it is unclear in which incident they were wounded.  There was no serious material damage caused.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
fire or firebomb,Several groups affiliated with the Democratic Front for the Liberation of Palestine and Islamic Jihad have been arrested for a series of six firebombs carried out in Jerusalem.,3,This text describes an arson attack.,gpt-4o-2024-11-20,1,1,2,3,2,1,3
firearms,"Gunmen shot and killed Tariq Abid Ali, a judge of Baqubah's criminal court, and his son as they left their home.  Attacks on judges are frequent in Iraq, as militants see them as collaborating with the government.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,"A car bomb exploded in a fish market in Kufa crowded with people shopping for the Eid al-Adha holiday, killing thirty-four people and wounding thirty-eight others.  After the attack, an angry mob attacked and killed a man suspected of parking the vehicle.  Attacks on crowded, public areas, particularly markets, are frequent in Iraq and often have sectarian motivations.The attack occurred on the day that former Iraqi President Saddam Hussein was executed for his involvement in the 1982 massacre of 148 Shiite men and boys in Dujail.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,"The Communist Party Nepal-Maoists (CPN-M) attacked a family who were gathered in Sungure in the Yamkha village.   The threw a socket bomb at the family, killing one child and injuring a woman and another child. The identity of the family was unknown.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,2,1,2,1,1
firearms,"On July 27, 2008 a coordinated attack on Zaki Obaid Fayadh, head of the local head of the Iraqi Islamic Party in Fallujah, wounded him and his son and killed two of his bodyguards.Unidentified gunmen opened fire on the house of Zaki Obaid Fayadh in the Dhubbat neighborhood in central Fallujah.  Shortly after, a bomb planted under the car exploded as the driver started the engine and Fayadh and his son were approaching the car. Incident report #43480 accounts for fatalities and injuries incurred by both attacks.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,1,2
firearms,"Gunmen shot and killed Colonel Faraj Sulayman Thabit, a Customs Department officer in Salah-al-Din, near the Tikrit-Baiji highway.  Attacks on government officials are frequent in Iraq.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,Two civilians were wounded when a bomb in a bicycle exploded next to a police convoy near the Kabul-Spin Bolk fork in the Kandahar Road. No credit was claimed for the attack.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
firearms,"Two French nuns, of the Little Sisters Sacred Heart, were the targets of gunmen in the Kouba district of Algiers where Islamic extremists are active.  They were shot as they were leaving their home at 8:50AM.  One nun was killed and the other seriously injured.  The GIA is suspected.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,"A car bomb exploded outside the home of a police official in Kirkuk, wounding seventeen civilians.  A car bomb exploded earlier in the day outside the home of another policeman in Kirkuk.  It is unclear if the attacks were coordinated.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
firearms,"The Director of the Ministry of Health in Iraq, Zuhayr Mohammad Mahmud was assassinated when gunmen opened fire on him as he returned home from work in Baghdad. Government officials are the frequent target of insurgent attack in Iraq.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,"Four women were killed, and more than fifty people were injured in a grenade attack on a mosque in Srinagar.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,Militants detonated explosives at a Shiite mosque in the Jihad neighborhood of Baghdad.  No casualties were reported.  Attacks on religious shrines are frequent in Iraq and often have sectarian motivations.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,An explosive device caused serious damage to the second home of a former member of the French gendarme that was being rented to a resident of mainland France.  Inscriptions bearing the initials FLNC (Corsican National Liberation Front) were found at the scene of the blast.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,"A car bomb exploded near JosephÕs Tomb, a Jewish Shrine, in the West Bank town of Nablus as hundreds of Israeli worshippers prayed there. The bomber, a Fatah-Tanzim activist, was injured in the attack, as were a Palestinian mother and her four children and nearby homes were damaged. The bomb appeared to have exploded somewhat prematurely, as the bomber was still a distance from the worshippers and closer to the Israel Defense Forces patrol protecting them and escorting them to the site.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
fire or firebomb,"The Harry Corry store on Church Street in Ballymena, was badly damaged in an arson attack.  Police were passing the premises when they noticed smoke coming from the windows and went inside to investigate.  When they arrived, two more firebombs detonated and the shop ignited.  Authorities are blaming this attack and six others in the past three days on dissident republicans.",3,This text describes an arson attack.,gpt-4o-2024-11-20,3,3,3,3,2,3,3
explosives,"At least seven bombs exploded in Iran on a single day, killing a total of at least ten people and wounding over eighty. The bombs exploded in two cities, Tehran, where one person was killed and four injured, and Ahvaz, were nine died and over seventy-five injured.  Ahvaz is a city located near the Iraqi border, where the majority of IranÕs oil reserves are located. The explosions in Ahvaz occurred first. The attack occurs only one week before elections are to be held in the country.  Three separate groups initially claimed responsibility for the attacks in Ahvaz: Arbav Martyrs of Khuzestan, The Arab PeopleÕs Democratic Front, and Afwaj al-Nahdah al-Musallahah Al-Ahwaz. A fourth group, the Arab Struggle Movement for Liberating Ahvaz, later also issued a claim of responsibility for the attack. Iranian authorities blamed Iraqi and US groups for the blasts. No one had claimed the Tehran blasts, although several suspects had been arrested. As of June 14, at least six suspects had been arrested in connection with the blasts and others were under investigation.  The second Ahvaz blast occurred when a bomb blew up inside the toilets of the cityÕs housing department.NOTE: Casualty numbers are for all four blasts in this city on this day.In August 2005, Iranian officials announced that they had arrested several suspects in connection with the attacks, and that the suspects admitted involvement in separatist groups and connections with foreign intelligence services, including the British intelligence agency.On October 30, Iranian intelligence officials announced that 30 of the suspects arrested in connection with the attacks had confessed to their involvement in these bombings and the ones in October 2005.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
firearms,Gunmen killed two police officers in Sungai Kolok.  Four other officers were killed in similar attacks in southern Thailand that night.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,"A gas pipeline on the outskirts of Quetta was blown up, causing suspension of gas supply to various parts of the provincial capital. The Pakistani government has been fighting militants in Balochistan who demand political and economic autonomy.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,3,1
explosives,Ten people were killed and sixty two others injured when a truck bomb exploded outside an Afghan guerrilla office in Peshawar.  Afghan guerrillas blamed Soviet and Afghan agents for the attack.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,"A woman was treated for cuts after an explosive device exploded in a Mercedes van belonging to a firm owned by Fernando Visa, a Popular Party Councilor.  Authorities have determined that this bomb resembles others planted by the Basque Fatherland and Freedom (ETA) in the area.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
